!!SBtab DocumentName=' TableType='Reaction' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='5.5' ionic_strength='0.1' pMg='14.0'
!Identifiers:kegg.reaction	!dG'0 (kJ/mol):Mean	!dG'0 (kJ/mol):Std	!pH	!ionic strength (M)	!temperature (K)	!Comment
R00002	-707.4	47.4	5.5	0.1	298.15	
R00004	-14.9	0.4	5.5	0.1	298.15	
R00005	-104.1	15.1	5.5	0.1	298.15	
R00006	40.8	7.4	5.5	0.1	298.15	
R00008	16.3	4.6	5.5	0.1	298.15	
R00009	-193.1	13.3	5.5	0.1	298.15	
R00010	-11.7	2.1	5.5	0.1	298.15	
R00011	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00012	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00013	-28.2	8.8	5.5	0.1	298.15	
R00014	-38.0	6.8	5.5	0.1	298.15	
R00015	-6.1	10.7	5.5	0.1	298.15	
R00016	0.9	5.2	5.5	0.1	298.15	
R00017	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00018	-0.8	8.0	5.5	0.1	298.15	
R00019	0.8	13.0	5.5	0.1	298.15	
R00021	83.2	11.8	5.5	0.1	298.15	
R00022	-14.6	10.8	5.5	0.1	298.15	
R00023	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00024	-13.0	7.5	5.5	0.1	298.15	
R00025	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00026	-12.9	3.7	5.5	0.1	298.15	
R00027	7.8	10.2	5.5	0.1	298.15	
R00028	-14.6	3.1	5.5	0.1	298.15	
R00029	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00031	-519.3	19.4	5.5	0.1	298.15	
R00032	-364.5	45.1	5.5	0.1	298.15	
R00033	-110.3	8.4	5.5	0.1	298.15	
R00034	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00036	-101.9	7.9	5.5	0.1	298.15	
R00038	-10.0	2.3	5.5	0.1	298.15	
R00039	1.0	13.3	5.5	0.1	298.15	
R00041	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00042	-670.7	22.1	5.5	0.1	298.15	
R00043	-367.4	6.5	5.5	0.1	298.15	
R00044	-478.7	9.0	5.5	0.1	298.15	
R00045	-381.6	24.0	5.5	0.1	298.15	
R00047	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00048	-40.9	9.7	5.5	0.1	298.15	
R00049	-8.1	2.9	5.5	0.1	298.15	
R00052	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00053	-48.7	6.1	5.5	0.1	298.15	
R00054	-48.7	6.1	5.5	0.1	298.15	
R00055	-424.0	14.3	5.5	0.1	298.15	
R00056	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00057	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00058	-270.5	33.9	5.5	0.1	298.15	
R00059	10.3	3.3	5.5	0.1	298.15	
R00060	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00061	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00062	0.1	0.0	5.5	0.1	298.15	
R00063	-6.5	27.8	5.5	0.1	298.15	
R00066	-171.2	44.1	5.5	0.1	298.15	
R00067	81.6	5.8	5.5	0.1	298.15	
R00068	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00069	161.3	12.9	5.5	0.1	298.15	
R00070	-689.3	43.9	5.5	0.1	298.15	
R00072	-159.6	8.5	5.5	0.1	298.15	
R00073	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00074	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00075	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00076	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00077	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00078	-81.1	33.5	5.5	0.1	298.15	
R00080	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00081	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00082	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00083	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00084	-128.4	16.2	5.5	0.1	298.15	
R00085	-41.1	1.2	5.5	0.1	298.15	
R00086	-24.0	0.6	5.5	0.1	298.15	
R00087	-26.3	1.1	5.5	0.1	298.15	
R00088	-66.2	7.0	5.5	0.1	298.15	
R00089	9.2	2.0	5.5	0.1	298.15	
R00090	-335.2	6.4	5.5	0.1	298.15	
R00091	5.6	29.7	5.5	0.1	298.15	
R00092	198.1	16.4	5.5	0.1	298.15	
R00093	58.2	1.8	5.5	0.1	298.15	
R00094	26.6	1.7	5.5	0.1	298.15	
R00095	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00097	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00099	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00100	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00101	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00102	-26.9	8.7	5.5	0.1	298.15	
R00103	-30.2	5.9	5.5	0.1	298.15	
R00104	-4.6	5.8	5.5	0.1	298.15	
R00105	-3.5	5.8	5.5	0.1	298.15	
R00106	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00107	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00108	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00109	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00111	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00112	-1.2	0.7	5.5	0.1	298.15	
R00113	-336.4	6.5	5.5	0.1	298.15	
R00114	59.4	1.9	5.5	0.1	298.15	
R00115	27.8	1.6	5.5	0.1	298.15	
R00118	-19.4	5.8	5.5	0.1	298.15	
R00119	-24.4	9.3	5.5	0.1	298.15	
R00120	-115.6	8.4	5.5	0.1	298.15	
R00122	-17.1	0.6	5.5	0.1	298.15	
R00123	-69.8	7.6	5.5	0.1	298.15	
R00125	-31.5	18.3	5.5	0.1	298.15	
R00126	7.5	18.3	5.5	0.1	298.15	
R00127	-6.9	0.3	5.5	0.1	298.15	
R00128	-30.1	5.8	5.5	0.1	298.15	
R00129	-52.9	13.5	5.5	0.1	298.15	
R00130	13.5	5.8	5.5	0.1	298.15	
R00131	-47.0	9.0	5.5	0.1	298.15	
R00132	-5.4	8.4	5.5	0.1	298.15	
R00134	-12.7	6.5	5.5	0.1	298.15	
R00137	3.9	5.8	5.5	0.1	298.15	
R00138	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00139	3.1	2.5	5.5	0.1	298.15	
R00140	3.7	2.5	5.5	0.1	298.15	
R00141	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00143	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00145	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00146	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00148	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00149	20.6	7.9	5.5	0.1	298.15	
R00150	44.6	7.8	5.5	0.1	298.15	
R00152	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00153	-165.0	7.2	5.5	0.1	298.15	
R00155	-14.9	6.3	5.5	0.1	298.15	
R00156	-1.6	2.5	5.5	0.1	298.15	
R00157	-5.3	2.5	5.5	0.1	298.15	
R00158	-9.2	6.3	5.5	0.1	298.15	
R00159	-22.5	2.5	5.5	0.1	298.15	
R00160	-21.2	9.4	5.5	0.1	298.15	
R00161	-5.1	9.4	5.5	0.1	298.15	
R00162	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00164	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00165	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00166	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00167	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00168	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00169	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00170	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00172	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00173	-13.8	8.0	5.5	0.1	298.15	
R00174	-10.2	8.0	5.5	0.1	298.15	
R00175	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00177	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00178	-31.4	6.1	5.5	0.1	298.15	
R00179	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00180	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00181	-39.7	3.8	5.5	0.1	298.15	
R00182	-19.3	3.0	5.5	0.1	298.15	
R00183	-17.2	2.8	5.5	0.1	298.15	
R00184	-24.6	18.3	5.5	0.1	298.15	
R00185	-6.8	2.8	5.5	0.1	298.15	
R00187	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00188	-16.7	6.0	5.5	0.1	298.15	
R00189	-8.3	12.9	5.5	0.1	298.15	
R00190	15.2	2.6	5.5	0.1	298.15	
R00191	-35.5	2.2	5.5	0.1	298.15	
R00192	34.7	5.8	5.5	0.1	298.15	
R00193	-31.5	9.5	5.5	0.1	298.15	
R00194	-16.2	8.8	5.5	0.1	298.15	
R00195	-8.4	7.1	5.5	0.1	298.15	
R00196	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00197	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00198	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00199	16.9	1.0	5.5	0.1	298.15	
R00200	34.1	0.8	5.5	0.1	298.15	
R00203	-11.8	4.1	5.5	0.1	298.15	
R00205	-10.6	4.1	5.5	0.1	298.15	
R00206	31.8	1.0	5.5	0.1	298.15	
R00207	-164.9	10.4	5.5	0.1	298.15	
R00208	-58.1	1.1	5.5	0.1	298.15	
R00209	-34.9	6.4	5.5	0.1	298.15	
R00210	-33.7	6.4	5.5	0.1	298.15	
R00211	-177.0	10.3	5.5	0.1	298.15	
R00212	21.0	3.0	5.5	0.1	298.15	
R00213	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00214	13.5	6.2	5.5	0.1	298.15	
R00215	22.8	10.3	5.5	0.1	298.15	
R00216	14.7	6.2	5.5	0.1	298.15	
R00217	-25.9	6.2	5.5	0.1	298.15	
R00218	nan	nan	5.5	0.1	298.15	uncertainty is too high
R00219	31.6	8.5	5.5	0.1	298.15	
R00220	-28.7	1.8	5.5	0.1	298.15	
