react_id,kappmax_davidi_per_pp_per_s_ensemble_model,kappmax_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model,kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_per_pp_per_s_ensemble_model,kappmax_KO_ALE_per_pp_per_s_median_imputed,kcat_in_vitro_per_s_ensemble_model,kcat_in_vitro_per_s_median_imputed
13PPDH2,4.38262010505479,6.2,10.0193056436704,4.2,2.79183856861928,3.2680205804032,12.0556956325514,16.616666665
13PPDH2_b,5.43187961924918,6.2,8.77203237400417,4.2,3.28380442554245,3.2680205804032,8.24074603859834,16.616666665
23PDE2pp,22.3959762226317,6.2,24.9412421205754,4.2,3.54042518921119,3.2680205804032,14.4362365932563,16.616666665
23PDE4pp,22.3959762226317,6.2,24.9412421205754,4.2,3.54042518921119,3.2680205804032,14.4362365932563,16.616666665
23PDE7pp,22.3959762226317,6.2,24.9412421205754,4.2,3.54042518921119,3.2680205804032,14.4362365932563,16.616666665
23PDE9pp,22.3959762226317,6.2,24.9412421205754,4.2,3.54042518921119,3.2680205804032,14.4362365932563,16.616666665
2AGPEAT120,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT140,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT141,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT160,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT161,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT180,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPEAT181,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT120,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT140,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT141,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT160,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT161,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT180,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2AGPGAT181,3.6141986272865,6.2,4.27830584222986,4.2,2.04447654743287,3.2680205804032,113.267253356916,16.616666665
2DDARAA,4.07545565164378,6.2,5.21653540222097,4.2,3.11668348207257,3.2680205804032,8.47263423937873,16.616666665
2DDARAA_b,3.88144805598314,6.2,4.44671650209795,4.2,2.68989740573903,3.2680205804032,7.29185561885693,16.616666665
2DGULRGx,5.62093523198764,6.2,4.98740807075617,4.2,2.17843982206931,3.2680205804032,7.90971656342355,16.616666665
